is_primary_school,is_middle_school,distance_to_subway_station,distance_to_bus_station,distance_to_parking_lot,distance_to_coach_station
1,0,70.78,0.08,1.35,4.22
1,0,72.72,0.00,2.78,3.96
1,0,79.05,0.42,2.62,3.29
1,0,10.97,0.08,0.67,2.02
1,0,10.97,0.08,0.67,2.02
0,1,6.07,0.51,0.51,2.95
1,0,5.99,0.76,0.93,2.36
1,0,2.53,0.17,0.25,2.36
1,0,3.46,0.17,0.42,1.18
0,1,3.54,0.00,0.17,1.10
0,1,2.02,0.25,0.67,9.45
0,1,11.22,0.08,0.42,1.27
0,1,11.64,0.25,0.76,1.18
0,1,11.30,0.08,0.42,1.35
1,0,12.23,0.34,2.87,3.37
0,1,12.32,0.25,2.78,3.37
0,1,3.54,0.08,3.29,4.13
1,0,65.80,0.17,0.17,0.93
0,1,65.80,0.08,0.17,0.84
0,1,67.66,0.25,0.17,1.01
0,1,6.75,0.08,0.76,9.45
1,0,6.75,0.08,0.67,9.28
0,1,4.30,0.08,1.43,6.92
1,0,0.42,0.08,0.17,4.98
1,0,0.84,0.51,0.17,5.15
0,1,1.43,0.34,0.34,6.24
1,0,1.35,0.42,0.25,6.16
1,0,12.74,0.08,0.34,1.86
0,1,6.66,0.08,0.34,3.96
1,0,6.50,0.08,0.42,3.96
1,0,1.43,0.42,0.76,6.58
1,0,2.36,0.08,2.02,5.65
1,0,65.63,0.17,0.17,1.10
0,1,65.80,0.17,0.17,0.84
0,1,65.89,0.08,0.08,0.84
0,1,65.97,0.17,0.08,0.76
1,0,66.98,0.08,0.17,1.10
1,0,75.59,0.08,1.01,0.17
1,0,11.30,0.25,0.34,4.22
0,1,5.74,0.51,0.51,8.77
1,0,5.82,0.34,0.67,9.79
1,0,5.74,0.08,1.27,8.27
1,0,5.31,0.51,1.27,8.01
0,1,1.01,0.08,0.25,7.68
1,0,0.34,0.17,0.17,8.60
1,0,0.51,0.25,0.08,10.12
0,1,0.84,0.17,0.17,10.04
1,0,0.84,0.17,0.08,9.87
0,1,1.77,0.08,0.42,8.94
1,0,1.60,0.08,1.52,4.39
1,0,1.52,0.08,1.43,4.30
1,0,64.37,0.17,0.34,2.53
0,1,63.86,0.17,0.34,3.12
0,1,65.72,0.17,0.08,1.77
1,0,66.05,0.17,0.17,1.94
1,0,65.72,0.25,0.00,1.86
1,0,66.05,0.17,0.17,2.02
0,1,66.64,0.08,0.17,1.77
